why_1,why_2,why_sub1,why_sub2,what1,what2,what_sub1,what_sub2
1,1,7,7,25,25,32,32
1,3,7,13,29,29,29,29
1,2,7,15,28,28,28,28
1,6,7,6,29,29,29,29
1,6,7,6,29,25,29,30
3,3,13,23,28,25,28,30
3,3,13,13,25,29,30,29
3,3,13,13,25,29,30,29
3,3,13,13,25,29,30,29
3,3,13,13,25,25,30,30
3,3,13,13,28,29,28,29
3,3,13,13,28,29,28,29
3,3,13,14,25,25,30,30
3,3,14,13,28,29,28,29
3,3,14,14,27,27,27,27
3,3,14,14,0,25,0,30
3,3,14,14,25,25,31,30
3,6,14,6,25,29,30,29
3,6,14,6,25,25,30,30
3,6,14,6,25,25,30,30
3,6,14,6,25,25,30,30
3,6,14,6,25,25,30,31
3,6,14,6,28,29,28,29
3,5,13,23,25,25,31,31
3,5,14,23,25,25,31,31
3,5,14,19,25,25,30,30
3,5,14,21,25,28,30,28
2,2,11,12,25,28,30,28
2,2,11,12,25,28,31,28
2,2,10,12,25,28,30,28
2,4,12,18,25,25,30,31
4,3,18,13,28,25,28,31
6,1,6,8,29,29,29,29
6,3,6,13,25,29,30,29
6,3,6,13,25,29,31,29
6,3,6,13,25,29,31,29
6,3,6,13,28,25,28,30
6,3,6,14,25,25,31,30
6,3,6,14,25,25,31,33
6,2,6,11,29,29,29,29
6,2,6,12,25,28,31,28
6,6,6,6,29,29,29,29
6,6,6,6,29,29,29,29
6,6,6,6,29,25,29,30
6,6,6,6,29,25,29,31
6,6,6,6,25,29,30,29
6,6,6,6,25,29,31,29
6,6,6,6,25,29,31,29
6,6,6,6,25,29,31,29
6,6,6,6,25,25,30,30
6,6,6,6,25,25,30,30
6,6,6,6,25,25,30,30
6,6,6,6,25,25,30,31
6,6,6,6,25,25,33,31
6,6,6,6,25,25,31,30
6,6,6,6,25,25,31,30
6,6,6,6,25,25,31,30
6,6,6,6,25,25,31,30
6,6,6,6,25,25,31,31
6,6,6,6,25,25,31,31
6,6,6,6,25,25,31,31
6,6,6,6,28,29,28,29
6,6,6,6,28,25,28,30
6,5,6,23,25,25,30,30
6,5,6,23,25,25,30,31
6,5,6,23,25,25,31,31
6,5,6,19,25,29,30,29
6,5,6,19,25,25,31,30
6,5,6,21,25,25,30,31
6,5,14,21,25,25,31,31
21,5,5,19,28,28,28,28
5,2,23,11,25,25,30,30
5,4,23,0,25,25,30,33
5,6,22,6,25,25,31,31
5,6,21,6,25,25,30,30
5,5,23,23,25,29,31,29
5,5,23,23,25,25,31,31
5,5,23,23,25,25,31,31
5,5,23,23,25,25,31,31
5,5,23,23,25,25,31,31
5,5,23,23,25,25,31,31
5,5,23,23,28,29,28,29
5,5,23,19,25,25,31,31
5,5,21,23,25,25,31,31
5,5,21,21,25,25,31,30
5,5,21,21,25,28,31,28
5,5,21,21,28,28,28,28
5,5,20,23,29,29,29,29
5,5,20,23,28,25,28,31
5,5,24,24,28,29,28,29
5,5,24,24,28,28,28,28
5,5,24,24,28,28,28,28
5,5,24,24,28,28,28,28
5,5,24,24,28,28,28,28
5,5,24,24,28,28,28,28
5,5,24,24,28,28,28,28
5,5,24,24,28,28,28,28
5,5,24,24,28,28,28,28
5,5,24,24,28,28,28,28
