why_1,why_2,why_sub1,why_sub2,what1,what2,what_sub1,what_sub2
1,6,9,6,26,27,26,27
1,5,0,19,26,25,26,31
3,3,13,13,27,25,27,32
3,3,13,13,27,25,27,31
3,3,13,13,27,25,27,31
3,3,13,13,29,29,29,29
3,3,13,13,25,27,31,27
3,3,13,13,25,25,31,31
3,3,13,13,25,25,31,31
3,3,13,13,25,25,31,31
3,3,13,13,25,25,31,31
3,3,13,13,25,28,31,28
3,3,13,13,28,28,28,28
3,3,13,13,28,28,28,28
3,3,14,13,25,27,31,27
3,3,14,14,27,25,27,30
3,3,14,14,27,25,27,30
3,3,14,14,27,25,27,31
3,3,10,14,27,25,27,30
3,5,13,23,28,28,28,28
3,5,14,23,27,25,27,30
2,3,12,13,25,25,31,31
2,3,10,13,25,25,31,31
2,2,11,12,25,25,33,31
2,2,11,12,25,25,31,31
2,2,11,12,25,25,31,31
2,5,12,23,27,28,27,28
2,5,10,23,27,27,27,27
2,5,10,23,25,25,31,31
4,1,15,7,26,25,26,33
4,3,18,13,27,25,27,31
4,3,18,14,27,25,27,30
4,6,18,6,25,25,30,31
6,3,6,13,27,25,27,31
6,3,6,13,25,25,33,31
6,3,6,13,25,25,33,31
6,3,6,13,25,25,31,31
6,3,6,14,27,27,27,27
6,3,6,14,25,27,31,27
6,3,6,14,25,25,31,30
6,3,6,14,25,25,31,31
6,2,6,11,25,25,31,31
6,2,6,12,29,28,29,28
6,2,6,10,27,25,27,30
6,4,6,15,25,26,31,26
6,4,6,16,25,25,31,31
6,6,6,6,29,29,29,29
6,6,6,6,29,29,29,29
6,6,6,6,29,29,29,29
6,6,6,6,25,27,31,27
6,6,6,6,25,27,31,27
6,6,6,6,25,27,31,27
6,6,6,6,25,25,31,31
6,6,6,6,25,25,31,31
6,6,6,6,25,25,31,31
6,6,6,6,25,25,31,31
6,6,6,6,25,25,31,31
6,6,6,6,28,27,28,27
6,5,6,23,29,25,29,31
6,5,6,23,29,28,29,28
6,5,6,23,25,25,31,32
6,5,6,23,25,25,31,31
6,5,6,23,25,25,31,31
6,5,6,23,25,28,32,28
6,5,6,19,27,27,27,27
6,5,6,21,25,25,31,31
6,5,6,21,25,28,31,28
6,5,6,21,25,28,31,28
5,3,23,14,29,28,29,28
5,3,19,14,27,28,27,28
5,2,24,12,28,25,28,31
5,2,24,12,28,25,28,31
5,4,23,15,25,25,31,31
5,5,23,23,26,25,26,30
5,5,23,23,27,29,27,29
5,5,23,23,27,25,27,31
5,5,23,23,25,25,31,31
5,5,23,23,25,28,31,28
5,5,0,23,27,25,27,31
5,5,19,19,27,27,27,27
5,5,19,19,27,27,27,27
5,5,21,21,28,25,28,31
5,5,21,21,28,28,28,28
5,5,24,24,27,28,27,28
5,5,24,24,28,28,28,28
5,5,24,24,28,28,28,28
5,5,24,24,28,28,28,28
5,5,24,24,28,28,28,28
5,5,24,24,28,28,28,28
5,5,24,24,28,28,28,28
5,5,24,24,28,28,28,28
5,5,24,24,28,28,28,28
5,5,24,24,28,28,28,28
5,5,24,24,28,28,28,28
5,5,24,24,28,28,28,28
5,5,24,24,28,28,28,28
5,5,24,24,28,28,28,28
5,5,24,24,28,28,28,28
