why_1,why_2,why_sub1,why_sub2,what1,what2,what_sub1,what_sub2
3,1,13,7,27,27,27,27
3,3,13,13,27,27,27,27
3,3,13,13,27,27,27,27
3,3,13,13,27,27,27,27
3,3,13,13,27,25,27,31
3,3,13,13,25,27,31,27
3,3,13,13,25,27,31,27
3,3,13,13,25,27,31,27
3,3,13,13,25,29,31,29
3,3,13,13,25,25,32,31
3,3,13,13,25,25,31,30
3,3,13,13,25,25,31,31
3,3,13,13,25,25,31,31
3,3,13,13,25,25,31,31
3,3,13,13,25,28,32,28
3,3,13,13,25,28,31,28
3,2,13,12,25,25,31,31
3,6,13,6,27,27,27,27
3,5,13,21,28,28,28,28
2,1,10,14,25,27,32,27
2,3,10,14,27,26,27,26
2,3,10,14,27,27,27,27
2,3,10,14,27,27,27,27
2,3,10,14,27,27,27,27
2,2,11,11,25,25,31,31
2,2,12,11,26,26,26,26
2,2,10,10,27,27,27,27
2,6,12,6,25,25,31,31
2,6,10,6,25,25,31,31
4,3,18,9,27,27,27,27
4,3,18,14,27,25,27,30
4,3,18,14,25,25,31,32
4,2,18,10,27,25,27,30
4,4,18,17,25,25,31,31
4,6,15,6,26,26,26,26
4,5,15,23,26,27,26,27
4,5,15,23,26,25,26,31
4,5,17,23,27,25,27,31
6,3,6,13,25,27,31,27
6,3,6,13,25,25,32,31
6,3,6,14,27,27,27,27
6,3,6,14,25,27,31,27
6,3,6,14,25,25,31,31
6,3,6,14,25,25,31,31
6,2,6,12,29,28,29,28
6,2,6,10,25,25,31,30
6,6,6,6,27,26,27,26
6,6,6,6,27,25,27,32
6,6,6,6,27,25,27,31
6,6,6,6,29,29,29,29
6,6,6,6,25,27,31,27
6,6,6,6,25,27,31,27
6,6,6,6,25,27,31,27
6,6,6,6,25,25,33,31
6,6,6,6,25,25,31,31
6,6,6,6,25,25,31,31
6,6,6,6,25,25,31,31
6,6,6,6,25,25,31,31
6,6,6,6,25,25,31,31
6,6,6,6,25,25,31,31
6,6,6,6,25,25,31,31
6,6,6,6,25,25,31,31
6,6,6,6,25,25,31,31
6,6,6,6,25,28,31,28
6,5,6,23,25,25,31,31
6,5,6,23,25,25,31,31
6,5,6,0,29,28,29,28
6,5,6,21,25,25,31,31
6,5,6,20,29,25,29,32
5,3,21,21,28,28,28,28
5,3,20,13,28,25,28,31
5,2,22,18,28,25,28,31
5,2,24,12,28,29,28,29
5,2,24,12,28,25,28,31
5,4,23,15,28,26,28,26
5,6,22,6,28,27,28,27
5,5,22,23,27,25,27,30
5,5,22,23,28,25,28,31
5,5,22,23,28,25,28,31
5,5,22,21,27,25,27,31
5,5,22,21,25,25,31,31
5,5,22,21,28,28,28,28
5,5,23,23,25,25,32,31
5,5,23,23,25,25,33,31
5,5,23,23,25,25,31,30
5,5,23,23,25,25,31,31
5,5,23,0,28,29,23,29
5,5,19,19,27,27,27,27
5,5,19,19,25,27,31,27
5,5,19,19,25,25,31,31
5,5,19,19,28,28,28,28
5,5,21,21,25,26,31,26
5,5,21,21,25,28,31,28
5,5,20,20,28,28,28,28
5,5,24,24,28,28,28,28
5,5,24,24,28,28,28,28
5,5,24,24,28,28,28,28
5,5,24,24,28,28,28,28
5,5,24,24,28,28,28,28
5,5,24,24,28,28,28,28
