id,message,why_1,why_2,why_sub1,why_sub2,what1,what2,what_sub1,what_sub2,,,,,,,,,,,
62468,Don ' t require test package server to have ' standard - app - packages ',Describe Issue,Missing Why,Describe shortcoming,Missing Why,Describe Implementation Principle,Illustrate Function,Describe Implementation Principle,Illustrate Function,,,,,,,,,,,
297549,test ( $ compile ) : work around Chrome issue with reported size for ` < foreignObject > `,Describe Issue,Trivial Why,Introduce issue report,Test cases,Describe Implementation Principle,Summarize Code Object Change,Describe Implementation Principle,Object of change,,,,,,,,,,,
329505,Pressable click fix ( ),Describe Objective,Describe Objective,To fix defects,To fix defects,Illustrate Function,Summarize Code Object Change,Illustrate Function,Change list,,,,,,,,,,,
122166,Fix Nat Geo Wild HD & Nat Geo Wild pointing to the wrong resolution,Describe Objective,Describe Objective,To fix defects,To fix defects,Illustrate Function,Summarize Code Object Change,Illustrate Function,Object of change,,,,,,,,,,,
281175,feat : handle spa errors with default loading indicator,Describe Objective,Describe Objective,To fix defects,To fix defects,Illustrate Function,Summarize Code Object Change,Illustrate Function,Object of change,,,,,,,,,,,
108909,Oops fixed dumb error,Describe Objective,Describe Objective,To fix defects,To fix defects,Missing What,Missing What,Missing What,Missing What,,,,,,,,,,,
191270,fix ( query ) : handle passRawResult when zero results,Describe Objective,Describe Objective,To fix defects,To fix defects,Summarize Code Object Change,Illustrate Function,Object of change,Illustrate Function,,,,,,,,,,,
80156,Fix : bubble up parseError event,Describe Objective,Describe Objective,To fix defects,To fix defects,Summarize Code Object Change,Summarize Code Object Change,Object of change,Object of change,,,,,,,,,,,
132572,[ FIX ] Mentions message missing ' jump to message ' action ( ),Describe Objective,Describe Objective,To fix defects,To fix defects,Summarize Code Object Change,Summarize Code Object Change,Object of change,Object of change,,,,,,,,,,,
189420,Fix thumbnail rotation regression,Describe Objective,Describe Objective,To fix defects,To fix defects,Summarize Code Object Change,Summarize Code Object Change,Object of change,Object of change,,,,,,,,,,,
244939,add missing ' use strict ' to getTestDocument,Describe Objective,describe Objective,To fix defects,To fix defects,Summarize Code Object Change,Summarize Code Object Change,Object of change,Object of change,,,,,,,,,,,
316485,hcamera expression fix,Describe Objective,Describe Objective,To fix defects,To fix defects,Summarize Code Object Change,Trivial What,Object of change,Trivial What,,,,,,,,,,,
16124,fixed loading icon bug,Describe Objective,Describe Objective,To fix defects,To fix defects,Trivial What,Trivial What,Trivial What,Trivial What,,,,,,,,,,,
61566,fix angle links,Describe Objective,Describe Objective,To fix defects,To fix defects,Trivial What,Trivial What,Trivial What,Trivial What,,,,,,,,,,,
170506,fix ( gatsby ) : allow environment variables to be replaced per environment ( ),Describe Objective,Describe Objective,To make improvements,To fix defects,Summarize Code Object Change,Illustrate Function,Object of change,Illustrate Function,,,,,,,,,,,
6728,re - enable google drive example and structure options better,Describe Objective,Describe Objective,To make improvements,To make improvements,Illustrate Function,Summarize Code Object Change,Illustrate Function,Characteristics of changes,,,,,,,,,,,
63753,show package size in human readable way,Describe Objective,Describe Objective,To make improvements,To make improvements,Illustrate Function,Summarize Code Object Change,Illustrate Function,Characteristics of changes,,,,,,,,,,,
252383,"improve handling of different "" br "" tag notations for multiline texts in sequence diagrams",Describe Objective,Describe Objective,To make improvements,To make improvements,Illustrate Function,Summarize Code Object Change,Illustrate Function,Object of change,,,,,,,,,,,
109147,Applying velocity - cli for application test in CI mode,Describe Objective,Describe Objective,Usage need,To make improvements,Illustrate Function,Summarize Code Object Change,Illustrate Function,Characteristics of changes,,,,,,,,,,,
2221,missing curly brace,Describe Objective,Trivial Why,To fix defects,Code refactoring,Trivial What,Trivial What,Trivial What,Trivial What,,,,,,,,,,,
109098,clearer js instructions on how to include plugins,Describe Objective,Trivial Why,To make improvements,Code refactoring,Illustrate Function,Summarize Code Object Change,Illustrate Function,Characteristics of changes,,,,,,,,,,,
35150,Fixed bug with deleting members after config change,Illustrate Requirement,Describe Objective,"Runtime or development
 environment change",To fix defects,Summarize Code Object Change,Summarize Code Object Change,Object of change,Object of change,,,,,,,,,,,
190732,fix ( e2e ) : add index - nocache . html to run e2e tests without cache,Illustrate Requirement,Describe Objective,Usage need,To fix defects,Summarize Code Object Change,Summarize Code Object Change,Object of change,Object of change,,,,,,,,,,,
135538,Bump webpack from 4 . 42 . 1 to 4 . 43 . 0 ( ),Illustrate Requirement,Illustrate Requirement,Out of date,"Runtime or development
 environment change",Summarize Code Object Change,Summarize Code Object Change,Contrast before and after,Object of change,,,,,,,,,,,
26317,updated socket . io - client dependency,Illustrate Requirement,Illustrate Requirement,Out of date,"Runtime or development
 environment change",Summarize Code Object Change,Summarize Code Object Change,Object of change,Object of change,,,,,,,,,,,
133009,Bump Prettier dependency to 1 . 13 . 5,Illustrate Requirement,Illustrate Requirement,Out of date,"Runtime or development
 environment change",Summarize Code Object Change,Summarize Code Object Change,Object of change,Object of change,,,,,,,,,,,
46111,Clean up after removing the Stetho dependency from open source React Native,Illustrate Requirement,Trivial Why,"Runtime or development
 environment change",Code refactoring,Illustrate Function,Trivial What,Illustrate Function,Trivial What,,,,,,,,,,,
97198,refactor : allow Generator to accept inline files,Illustrate Requirement,Trivial Why,Usage need,Code refactoring,Illustrate Function,Illustrate Function,Illustrate Function,Illustrate Function,,,,,,,,,,,
163749,Trailing slashes for cache invalidation headers,Illustrate Requirement,Trivial Why,Usage need,Code refactoring,Summarize Code Object Change,Summarize Code Object Change,Object of change,Object of change,,,,,,,,,,,
