id,message,why_1,why_2,why_sub1,why_sub2,what1,what2,what_sub1,what_sub2,,,,,,,,,,,
288513,the parser now introduces sentence boundaries properly when predicting dependents with root labels,Describe Objective,Describe Issue,To fix defects,Describe error scenario,Illustrate Function,Illustrate Function,Illustrate Function,Illustrate Function,,,,,,,,,,,
69990,Fix support of maxout pieces in parser,Describe Objective,Describe Objective,To fix defects,To fix defects,Illustrate Function,Illustrate Function,Illustrate Function,Illustrate Function,,,,,,,,,,,
89558,websocket : Avoid calling convert_yielded twice on the same object,Describe Objective,Describe Objective,To fix defects,To fix defects,Illustrate Function,Illustrate Function,Illustrate Function,Illustrate Function,,,,,,,,,,,
200540,fix compilation on macOS,Describe Objective,Describe Objective,To fix defects,To fix defects,Illustrate Function,Illustrate Function,Illustrate Function,Illustrate Function,,,,,,,,,,,
233973,"BUG : fix conflict between passed names , usecols , header options . note API breakage from < = 0 . 9 . 1 . close",Describe Objective,Describe Objective,To fix defects,To fix defects,Illustrate Function,Summarize Code Object Change,Illustrate Function,Object of change,,,,,,,,,,,
123604,BUG : adding Timedelta to DatetimeIndex raising incorrectly ( ),Describe Objective,Describe Objective,To fix defects,To fix defects,Summarize Code Object Change,Illustrate Function,Object of change,Illustrate Function,,,,,,,,,,,
201839,Really fix linking with Fortran on AIX,Describe Objective,Describe Objective,To fix defects,To fix defects,Summarize Code Object Change,Illustrate Function,Object of change,Illustrate Function,,,,,,,,,,,
219206,Fix unit tests for viz without json endpoint .,Describe Objective,Describe Objective,To fix defects,To fix defects,Summarize Code Object Change,Illustrate Function,Object of change,Illustrate Function,,,,,,,,,,,
128853,BUG : adding Timedelta to DatetimeIndex raising incorrectly ( ),Describe Objective,Describe Objective,To fix defects,To fix defects,Summarize Code Object Change,Missing What,Object of change,Missing What,,,,,,,,,,,
194449,Fix PEP - 8 issues in reshaping . rst ( ),Describe Objective,Describe Objective,To fix defects,To fix defects,Summarize Code Object Change,Summarize Code Object Change,Change list,Object of change,,,,,,,,,,,
