ID,link,repo,message,why_category1,why_category2,why_subcategory1,why_subcategory2,what_category1,what_category2,what_subcategory1,what_subcategory2
9062,https://github.com/OpenGenus/cosmos/commit/e7db7deb8d6ad778367f75fb29a21bd282c45d85,OpenGenus/cosmos,Create boolean_parenthesization.py ,,Missing Why,,,,Summarize Code Object Change,,Object of change
12146,https://github.com/ariya/phantomjs/commit/39d8522c3ac27657a957c50878132606f7a531f8,ariya/phantomjs,Port weather.coffee to PhantomJS 1.2 ,Missing Why,,,,Summarize Code Object Change,,Object of change,
23034,https://github.com/cocos2d/cocos2d-x/commit/73c9707d5d7d83f542a9be2091270bb541c25e46,cocos2d/cocos2d-x,CCBIReader fixes + building and running flawless on iOS and Android. Made it works on win32.,,Illustrate Requirement,,Runtime or development environment change,,Summarize Code Object Change,,Change list
28710,https://github.com/xbmc/xbmc/commit/c15d727ee7a7e50e75eca4c47276140f0589dfd1,xbmc/xbmc," missed one, pass dts into decoders so they can decide which (dts or pts) to use.
git-svn-id: https://xbmc.svn.sourceforge.net/svnroot/xbmc/trunk@27458 568bbfeb-2a22-0410-94d2-cc84cf5bfa90",Imply Necessity,,,Relation to implemented feature,Illustrate Function,,,
31064,https://github.com/pytorch/pytorch/commit/c64331f48fbb698eeacbc297fa65c540825485ea,pytorch/pytorch," Add test for verifying combine_spatial_bn values in DPM (#11710)

Summary:
Pull Request resolved: pytorch/pytorch#11710

Added a test to check that output and gradient values are correctly
calculated wehn combine_spatial_bn is true on data parallel model

Reviewed By: enosair

Differential Revision: D9833660

fbshipit-source-id: 14d29fbebefa9dc303ffae06f9899ea4bde23025",Trivial Why,,Test cases,,,Illustrate Function,,
31173,https://github.com/mongodb/mongo/commit/2506e90e792f9dce299028d532fbabb48a44b556,mongodb/mongo,SERVER-48810 Add custom Bison location and improve error messages from parser,Describe Objective,,To make improvements,,Summarize Code Object Change,,Object of change,
31776,https://github.com/microsoft/react-native-windows/commit/23a6db28690f843268d362e4351e917155acb24c,microsoft/react-native-windows,Bump @types/react-native from 0.63.25 to 0.63.26 (#6273) ,,Illustrate Requirement,,Runtime or development environment change,,Summarize Code Object Change,,Contrast before and after
32687,https://github.com/cocos2d/cocos2d-x/commit/52e68690e335de5082a38a5495d4be77a7bb65d1,cocos2d/cocos2d-x," issue #73

modify effects test code",,Describe Issue,,Introduce issue/PR reference,Missing What,,,
39852,https://github.com/apple/swift/commit/b446659934ead9ddd9c92718df4eed4c413e3f85,apple/swift,Use blackHole on the comparison result ,,Missing Why,,,Summarize Code Object Change,,Object of change,
42596,https://github.com/arangodb/arangodb/commit/5878d8184efcddb6d7cad9bdde4c6644e26b3cd5,arangodb/arangodb,"Bug fix/ui fix foxx configuration keys 3818 (#3993)
* ui: fixed broken foxx configuration keys. Some valid values could not be handled by the ui.

* changelog",,Describe Issue / Describe Objective,,Introduce issue/PR reference / To fix defects,Trivial What,Summarize Code Object Change,,Object of change
48777,https://github.com/Tencent/mars/commit/fd3149088518c26f7e80805d1b113be6a9565232,Tencent/mars,fixed assert,,Describe Objective,,To fix defects,,Summarize Code Object Change,,Object of change
55081,https://github.com/tensorflow/tensorflow/commit/a642a6ecf6685a73e7923c94ff69db47d67aa079,tensorflow/tensorflow," Enabling python configuration to use a remotely generated configuration. This will prepare TF for use of Bazel's new remote execution api.

Change: 154726835",,Illustrate Requirement,,Runtime or development environment change,Illustrate Function,,,
58895,https://github.com/xbmc/xbmc/commit/a91d1bbc2fffe87cbe09fca9dbae39badbdae81b,xbmc/xbmc,[PVR] Remove superflous member CPVRRecording::m_duration ,,Trivial Why,,Code refactoring,Summarize Code Object Change,,Object of change,
59297,https://github.com/grpc/grpc/commit/59c16d7bfbb7999a728ddf7b6cac66619a06706f,grpc/grpc," Merge pull request #10621 from nicolasnoble/import

Cleanup of the BUILD files.",,Trivial Why,Version management,,Trivial What,,,
61134,https://github.com/ApolloAuto/apollo/commit/6a95c33d217204d84ec42b6c367ec2864efaa779,ApolloAuto/apollo, Docker:fix pyproj install problem ,Describe Objective,,To fix defects,,,Summarize Code Object Change,,Object of change
65930,https://github.com/mongodb/mongo/commit/26a8aaf0e660c247c2667e0f182bc4964096735b,mongodb/mongo,"SERVER-11767 allow more time for records to replicate, on slower builders",Describe Objective,,To make improvements,,,Summarize Code Object Change,,Characteristics of changes
67328,https://github.com/gabime/spdlog/commit/03d9abe8e269ed54e8f7210f16f938695ecb58f2,gabime/spdlog,mingw support,,Illustrate Requirement,,Runtime or development environment change,,Illustrate Function,,
68032,https://github.com/rethinkdb/rethinkdb/commit/edc3978fa987524ffa9aaa0eb47ec2119c152ae5,rethinkdb/rethinkdb," Brings distributed filter online.

Hurrah the first actual useful thing from this parallelization effort.",Describe Objective,,To make improvements,,,Illustrate Function,,
68110,https://github.com/pytorch/pytorch/commit/a0c1e5faea68950790498ef8e0c26b469a993ae2,pytorch/pytorch, Change the error message in pad_sequence to be more user-friendly (#7283),Describe Objective,,To make improvements,,Summarize Code Object Change,Illustrate Function,Characteristics of changes,
69447,https://github.com/mongodb/mongo/commit/0e523eec39056da5b0dfb3826bbe27b4f376deb6,mongodb/mongo, SERVER-17114 capped cursor should die when falling off the back of collection,Imply Necessity,,Conventions and standards,,,Describe Implementation Principle,,
77520,https://github.com/xbmc/xbmc/commit/015c7a325533a2b5a16904af3ac6b8494561288b,xbmc/xbmc,"fixed: improved efficiency a little by taking out a calculation

git-svn-id: https://xbmc.svn.sourceforge.net/svnroot/xbmc/trunk@26730 568bbfeb-2a22-0410-94d2-cc84cf5bfa90",Describe Objective,,To make improvements,,,Summarize Code Object Change,,Characteristics of changes
78518,https://github.com/x64dbg/x64dbg/commit/dec53c13c45a1fe775f75aeacad64a5ffc85bfe5,x64dbg/x64dbg,DBG: MemUpdateMapAsync() ,,Missing Why,,,,Summarize Code Object Change,,Object of change
82257,https://github.com/tensorflow/tensorflow/commit/c3704aaacb7a699a45d5ef25584268dfc884cd26,tensorflow/tensorflow, made comments for string view and get_name more clear ,Describe Objective,,To make improvements,,Summarize Code Object Change,,Characteristics of change,
85855,https://github.com/tensorflow/tensorflow/commit/143f6d77dcf419f1d36fb9cb4d7e4624eea0bdcd,tensorflow/tensorflow,"Merge pull request #6482 from caisq/branch_142863423

Branch 142863423",Trivial Why,,Version management,,Trivial What,,,
87684,https://github.com/godotengine/godot/commit/8862d37e693ee20ad33a662d9d227d9305641d12,godotengine/godot," Fix property hint for stretch strink setting

Fixes #25184.",Dercribe Issue; Describe Objective,,Introduce issue/PR reference; To fix defects,,,Summarize Code Object Change,,Object of change
92095,https://github.com/emscripten-core/emscripten/commit/52e5c1b766dfe6cf5098332fab781ab5111ad335,emscripten-core/emscripten, Add a stub pthread_mutex_trylock(). ,,Missing Why,,,Summarize Code Object Change,,Object of change,
98811,https://github.com/apple/swift/commit/9dd9d81dd7e138f506cf95ecd31b4c76d91e34af,apple/swift, Omit leaf frame pointers in optimized builds ,,Imply Necessity,,Relation to an implemented feature,Summarize Code Object Change,,Object of change,
108915,https://github.com/apple/swift/commit/a677583c6dd5262240de9b54fe1212f820387ab0,apple/swift," Add pretty-printing for statements.

Since we can't pretty-print expressions yet, the output looks really
funny and sparse.


Swift SVN r3583",,Imply Necessity,,Improvements and benefits,,Summarize Code Object Change,,Contrast before and after
113539,https://github.com/emscripten-core/emscripten/commit/67e6d32ed764747facffa75924b92f0e5d8c2c6a,emscripten-core/emscripten,run simplifyExpressions after splitMemory,,Missing Why,,,Summarize Code Object Change,,Object of change,
114457,https://github.com/mongodb/mongo/commit/26b0675fb073f0185728d98ad81950ca9744c5b8,mongodb/mongo, SERVER-39689 add data consistency parameters to rollback_test ,Imply Necessity,,Relation to an implemented feature,,,Summarize Code Object Change,,Object of change
116085,https://github.com/tensorflow/tensorflow/commit/7530e115a0555286a39911110f1d89454861afd4,tensorflow/tensorflow, [tf.data] Apply standard grappler optimizations after custom dataset optimizations,Imply Necessity,,Relation to an implemented feature,Relation to an implemented feature,Summarize Code Object Change,,Object of change,
130710,https://github.com/grpc/grpc/commit/ed88abcad8f2857701d2a14f21c92a9e9d4dbc0d,grpc/grpc,Fix sanity,Trivial Why,,To fix defects,,Missing What,,,
