ID,link,repo,message,why_category1,why_category2,why_subcategory1,why_subcategory2,what_category1,what_category2,what_subcategory1,what_subcategory2
6972,https://github.com/ansible/ansible/commit/a5bd84758a9795ebea81b7f7b65ba4ea5c78770b,,simpler / shorter option names for user,Imply Necessity,Illustrate Requirement,Improvements and benefits,Usage need,Illustrate Function,Summarize Code Object Change,,Characteristics of changes
11002,https://github.com/zulip/zulip/commit/6f128279e8f4126c2d0f1a4076b93768678cdc0a,,migrations : Add reverser for emoji_alt_code migration .,Missing Why,Illustrate Requirement,,Usage need,Summarize Code Object Change,Summarize Code Object Change,Object of change,Characteristics of changes
11238,https://github.com/numpy/numpy/commit/2b3080362d7afdd49c3ad5f2e1e89d572fd2a357,,More Buffer protocol fixes .,Missing Why,Describe Objective,,To fix defects,Summarize Code Object Change,Illustrate Function,Object of change,
15221,https://github.com/python/cpython/commit/d04863771b0c5bedeb1e4afe05dcba3adcc0fb58,,Issue : Deprecate ssl - related arguments in favor of SSLContext .,Illustrate Requirement,Illustrate Requirement,"Runtime or development
 environment change",Out of date,Describe Implementation Principle,Describe Implementation Principle,,
18325,https://github.com/locustio/locust/commit/638f6d59bd2f604316ce7fbd0f74f6db4738f7c0,,"Added InterruptLocust exception to API , and added it to API documentation .",Missing Why,Trivial Why,,Code refactoring,Summarize Code Object Change,Summarize Code Object Change,Object of change,Object of change
22186,https://github.com/scrapy/scrapy/commit/c161c29e086376285e93ed65a1f1bb98216df5cc,,simplified some scrapy . log implementation code,"Trivial
 Why",Trivial Why,Code refactoring,Code refactoring,Summarize Code Object Change,Summarize Code Object Change,Object of change,Characteristics of changes
46528,https://github.com/python/cpython/commit/28f46e1839bbd6b39c7962b7848e887e97fb5df5,,Python style conformance : Delete spaces between name of function and arglist .,Imply Necessity,Trivial Why,Conventions and standards,Code refactoring,Describe Implementation Principle,Summarize Code Object Change,,Object of change
50547,https://github.com/pypa/pipenv/commit/d65711ac773b89fc917ac42ae68a7e523c0ce2fc,,next version,"Trivial
 Why",Illustrate Requirement,Version management,"Runtime or development
 environment change",Trivial What,Missing What,,Missing What
50650,https://github.com/pandas-dev/pandas/commit/8351f86a0079b6b0cb95414807a2c2248530ef2c,,Tslib unused ( ),Missing Why,Trivial Why,,Code refactoring,Summarize Code Object Change,Summarize Code Object Change,Object of change,Object of change
52378,https://github.com/home-assistant/core/commit/61c08e792d23b3d8a5cf868683a9a6cb93a5a821,,Update plugwise to async and config_flow switch part ( ),Missing Why,missing Why,,Missing Why,Illustrate Function,summarize Code Object Change,,Change list
54117,https://github.com/python/cpython/commit/fd6d0d2a18bb487ec06dbbeb1a53d0ac13384cfe,,Issue : Fix _Pickle_FastCall ( ) usage in do_append ( ),Describe Objective,Describe Objective,To fix defects,To fix defects,Summarize Code Object Change,Summarize Code Object Change,Object of change,Object of change
61540,https://github.com/quantopian/zipline/commit/773e4cc4dbed30938fbc66ae2c5837c4799dfaaa,,BUG / DOC : Use correct close brace .,"Trivial
 Why",Describe Objective,Typographic fixes,To fix defects,Trivial What,Summarize Code Object Change,,Object of change
61574,https://github.com/matplotlib/matplotlib/commit/369150170302feca20ba7c5a61067659b6c7098f,,Backport PR : Document preference order for backend auto selection,"Trivial
 Why",Trivial Why,Annotation changes,Text file changes,Illustrate Function,Summarize Code Object Change,,Object of change
63045,https://github.com/python/cpython/commit/886a1cd7dc43bbdba6e69a2fa44b9daa888eee08,,"Merged revisions 85586 - 85587 , 85596 - 85598 via svnmerge from","Trivial
 Why",Trivial Why,Version management,Version management,Trivial What,Trivial What,,
65336,https://github.com/python/cpython/commit/cc4e935ea593cede10cb1316e3faeabd708abca7,,threading . Thread objects will now print a traceback for an exception raised,Illustrate Requirement,Describe Objective,Usage need,To make improvements,Illustrate Function,Illustrate Function,,
67581,https://github.com/ipython/ipython/commit/4d5d46fa6da164c736e0638e10d363bd1cbd9183,,"Use casting trait for session number in history , so IPython will start on PyPy .",Illustrate Requirement,Describe Objective,Usage need,To make improvements,Illustrate Function,Describe Implementation Principle,,
69990,https://github.com/explosion/spaCy/commit/827cd8a883397f00ab110a6356cb579742b6a52f,,Fix support of maxout pieces in parser,Describe Objective,Describe Objective,To fix defects,To fix defects,Illustrate Function,Illustrate Function,,
72898,https://github.com/python/cpython/commit/757408a2f3f52a253bdd52de07b8e9a1e9e73384,,merge,Missing Why,Missing Why,,Missing Why,Missing What,Missing What,,Missing What
78357,https://github.com/mitmproxy/mitmproxy/commit/c3c3d28bb118b37e5c537e7e2395698b78cf30e9,,update build script,Missing Why,Illustrate Requirement,,"Runtime or development
 environment change",Missing What,Trivial What,,
79441,https://github.com/python/cpython/commit/6c06cd5ff9dbf940c5907eb4d8992e7ee857b1d7,,fix a couple problems with the last patch picked up by Michael Hudson,Describe Objective,Describe Objective,To fix defects,To fix defects,Summarize Code Object Change,Trivial What,Change list,
80843,https://github.com/ytdl-org/youtube-dl/commit/7928024f5747eee6435c22df8395da4ed0aef4cd,,[ BR ] Add basic test,"Trivial
 Why",,Test cases,,Trivial What,,,
82721,https://github.com/mitmproxy/mitmproxy/commit/bef72c1b02a4f6e374224279506bde17ce2f79db,,Merge pull request from Kriechi / fix - cookies,"Trivial
 Why",,Version management,,Trivial What,,,
87194,https://github.com/scikit-learn/scikit-learn/commit/9b5cafe696fb815a4ad2a9ec2ea7980086dd15f4,,WIP : catch ValueError only,Missing Why,,,,,Illustrate Function,,
89558,https://github.com/tornadoweb/tornado/commit/5a451d63fc492177ce86959ef33cd70394517c19,,websocket : Avoid calling convert_yielded twice on the same object,Describe Objective,,To fix defects,,Illustrate Function,,,
92879,https://github.com/chubin/wttr.in/commit/f434cc542a76c5323a4d2c03448f4181431147f4,,Remove commented lines,"Trivial
 Why",,Annotation changes,,Trivial What,,,
93670,https://github.com/python/cpython/commit/9fdcf4ad39ad736d061e3322d918b1be87931d8d,,Conform the new module to / the / C style .,,Imply Necessity,,Conventions and standards,,Describe Implementation Principle,,
96139,https://github.com/ipython/ipython/commit/6f3272522bed9cff96988a944e0ed8cbe732a4de,,to clean ( transformer deepcopy ),,Describe Objective,,To make improvements,Summarize Code Object Change,,Object of change,
99511,https://github.com/sanic-org/sanic/commit/aaef2fbd011b3330d2a5a82b8446f4abb5f833b4,,fix flake8 errors,Describe Objective,,To fix defects,,Summarize Code Object Change,Missing What,Object of change,
100103,https://github.com/explosion/spaCy/commit/20dd66ddc25afb7942bddde1b5e4b03f97a759b8,,Constrain sentence boundaries to IS_PUNCT and IS_SPACE tokens,Missing Why,,Missing Why,,Summarize Code Object Change,,Object of change,
110108,https://github.com/encode/django-rest-framework/commit/b3253b42836acd123224e88c0927f1ee6a031d94,,Remove ` . model ` usage in tests .,Missing Why,,Missing Why,,Summarize Code Object Change,,Object of change,
118991,https://github.com/matplotlib/matplotlib/commit/3ea6cfab18195fd48dd34a0a6e578a9ad56261fe,,Remove unnecessary calls to float ( ) before division .,"Trivial
 Why",,Code refactoring,,Summarize Code Object Change,,Object of change,
123604,https://github.com/pandas-dev/pandas/commit/9e76f4a8d3374cd4f21b2a531b19f58a686136ab,,Fix ' observed ' kwarg not doing anything on SeriesGroupBy ( ),Describe Objective,,To fix defects,,Summarize Code Object Change,,Object of change,
126841,https://github.com/python/cpython/commit/eda232fdac4db6b8fc90d2492b133b8fda40e82f,,"Allow longer strings ( up to 80 chars each ) for version , build ,",Imply Necessity,,Relation to an implemented feature,,Illustrate Function,,,
128853,https://github.com/pandas-dev/pandas/commit/08bf822c09e5234272fd4007464e3a0828f4b29c,,BUG : adding Timedelta to DatetimeIndex raising incorrectly ( ),Describe Objective,,To fix defects,,Summarize Code Object Change,,Object of change,
136048,https://github.com/zulip/zulip/commit/5e3428dd8ec9cddaa78efde99c5fde6a3fc74f30,,tests : Add check for duplicate items in check_events_dict .,"Trivial
 Why",,Test cases,,Summarize Code Object Change,,Object of change,
